model,accuracy,precision,recall,f1,roc_auc,pr_auc,n_estimators,max_depth,learning_rate
"XGBoost n=300, depth=5, lr=0.05",0.7454837274186371,0.056186892924329095,0.6277074844520695,0.10314146272706451,0.751145614507936,0.0781045566599466,300,5,0.05
"XGBoost n=100, depth=3, lr=0.1",0.6909784548922745,0.05047437733058514,0.6879691185931803,0.09404866608032834,0.7534546696954976,0.07762432251522314,100,3,0.1
"XGBoost n=100, depth=5, lr=0.1",0.7267686338431693,0.053890505346209455,0.6474372721423975,0.09949904422912136,0.7493826981296478,0.07597595476992194,100,5,0.1
"XGBoost n=100, depth=7, lr=0.1",0.7908539542697713,0.05928947493241,0.536135535063264,0.10677144504473723,0.7342992586692767,0.07273431357869381,100,7,0.1
"XGBoost n=300, depth=7, lr=0.05",0.8274191370956855,0.063896923481462,0.4690113660733433,0.11247107225507842,0.7293337915549833,0.06962277385091092,300,7,0.05
