threshold,accuracy,precision,recall,f1
0.3,0.3703796470725493,0.020242271103935346,0.9059848527988156,0.0395997710132663
0.4,0.5446560348407551,0.02517023773550432,0.8158419224417743,0.04883386023365402
0.5,0.6999961654283176,0.03228762325585123,0.6882295996811115,0.061681518000224554
0.6,0.8167123687781015,0.04194517312005379,0.5399464722965662,0.07784318071735258
0.7,0.8971543398784849,0.055613808018087386,0.3865952963954217,0.09723923085186378
0.8,0.955165698369328,0.07402597402597402,0.18501224303855132,0.1057427869359327
0.9,0.9840808164537391,0.10490076954232483,0.014748590626957462,0.02586120818771842
