model,accuracy,precision,recall,f1,roc_auc,pr_auc,C
Logistic Regression C=10,0.7359236796183981,0.048479051798507186,0.5543641432554149,0.08916098991118393,0.6865528475320477,0.04476185072309648,10.0
Logistic Regression C=0.1,0.7256436282181411,0.04749630484155882,0.5650868539566802,0.08762740892236577,0.6867456538768008,0.04449806625396356,0.1
Logistic Regression C=1,0.7228636143180716,0.04734814709134358,0.5693759382371864,0.0874261158766485,0.6871429929529433,0.04446589896584561,1.0
Logistic Regression C=0.01,0.7208286041430207,0.04716730677333145,0.5715204803774394,0.08714276371721928,0.6871337345858893,0.044410221195917754,0.01
