model,dataset,sampling_method,sampling_ratio,train_positive_count,train_negative_count,scale_pos_weight,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,Validation,Baseline,Original,10602,689398,65.02527824938691,0.7228636143180716,0.04734814709134358,0.5693759382371864,0.0874261158766485,0.6871429929529433,0.04446589896584561
Logistic Regression,Test,Baseline,Original,10602,689398,65.02527824938691,0.6918630813691863,0.02612108344592421,0.6005917159763313,0.050064738886491156,0.6887420313224564,0.026978243512388797
XGBoost,Validation,Baseline,Original,10602,689398,65.02527824938691,0.7541887709438547,0.05617282719275498,0.6039030666952606,0.10278497645727634,0.7430553343340494,0.07474808002191781
XGBoost,Test,Baseline,Original,10602,689398,65.02527824938691,0.7432825671743283,0.03309783443403471,0.6375739644970414,0.06292889472915754,0.7544233879295075,0.052501823176144165
