model,dataset,sampling_method,sampling_ratio,train_positive_count,train_negative_count,scale_pos_weight,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,Validation,RandomOverSampling,0.05,34469,689398,20.000522208361136,0.7246736233681168,0.047412090082971155,0.5661591250268068,0.08749689286602039,0.687163213586692,0.04455069427578159
Logistic Regression,Test,RandomOverSampling,0.05,34469,689398,20.000522208361136,0.6954730452695473,0.026242959007586365,0.5961538461538461,0.050272883205987835,0.6892060517172803,0.02714591071534369
XGBoost,Validation,RandomOverSampling,0.05,34469,689398,20.000522208361136,0.7623088115440577,0.05750614073110822,0.5974694402745014,0.10491432875164752,0.7441332309078857,0.07528299808770056
XGBoost,Test,RandomOverSampling,0.05,34469,689398,20.000522208361136,0.7546924530754693,0.033152064451158106,0.6087278106508875,0.06287962715360813,0.7481472324236531,0.046545432184725614
Logistic Regression,Validation,RandomOverSampling,0.1,68939,689398,10.000116044619157,0.7256886284431422,0.047520325936074706,0.5653013081707056,0.08767086839392024,0.6878229521095907,0.04478347156738285
Logistic Regression,Test,RandomOverSampling,0.1,68939,689398,10.000116044619157,0.6965330346696533,0.02627193412410548,0.5946745562130178,0.05032076357377562,0.6894885817153051,0.0272584650429044
XGBoost,Validation,RandomOverSampling,0.1,68939,689398,10.000116044619157,0.7583087915439577,0.05716545332873684,0.6045464293373365,0.10445383133244406,0.7471119905648578,0.07597199117464604
XGBoost,Test,RandomOverSampling,0.1,68939,689398,10.000116044619157,0.7484325156748433,0.033363390441839495,0.6294378698224852,0.06336795859860754,0.7490319474982756,0.04880862598508549
Logistic Regression,Validation,RandomOverSampling,0.2,137879,689398,5.000021758208284,0.7244886224431122,0.047445582931074703,0.567016941882908,0.08756416625269084,0.6886630756366936,0.04502112825001572
Logistic Regression,Test,RandomOverSampling,0.2,137879,689398,5.000021758208284,0.6972330276697233,0.026363189782217127,0.5954142011834319,0.05049079562204033,0.690384974526564,0.02740597154041489
XGBoost,Validation,RandomOverSampling,0.2,137879,689398,5.000021758208284,0.7511537557687789,0.056340244718102055,0.6141968689684753,0.10321278627673568,0.7456302994188182,0.07631310933374698
XGBoost,Test,RandomOverSampling,0.2,137879,689398,5.000021758208284,0.7409325906740932,0.03237478575509427,0.628698224852071,0.061578585141449635,0.7533868922695918,0.049262541021688575
Logistic Regression,Validation,RandomOverSampling,0.3,206819,689398,3.3333397801942763,0.7249236246181231,0.04776360696964253,0.5702337550932876,0.08814413339300217,0.6896203620258,0.04530418500632246
Logistic Regression,Test,RandomOverSampling,0.3,206819,689398,3.3333397801942763,0.6986230137698624,0.026390259953932214,0.5931952662721893,0.05053241761703736,0.6914228047849523,0.027562822457599164
XGBoost,Validation,RandomOverSampling,0.3,206819,689398,3.3333397801942763,0.7511787558937795,0.05620608899297424,0.6124812352562727,0.10296344365130868,0.7473434508390833,0.07489494013073446
XGBoost,Test,RandomOverSampling,0.3,206819,689398,3.3333397801942763,0.7415925840741593,0.03302696312116243,0.6405325443786982,0.06281507271606282,0.7546647403162284,0.05080739066457167
Logistic Regression,Validation,RandomOverSampling,0.5,344699,689398,2.0,0.7239986199931,0.04783207773383676,0.5732361140896418,0.08829650183331682,0.6910989033728263,0.04579300962117602
Logistic Regression,Test,RandomOverSampling,0.5,344699,689398,2.0,0.6987030129698703,0.026397208873675203,0.5931952662721893,0.050545156614356844,0.6925811687795609,0.027787136131228587
XGBoost,Validation,RandomOverSampling,0.5,344699,689398,2.0,0.7551687758438792,0.056907967115396155,0.6101222389019945,0.10410567915690866,0.7459243494601198,0.07499711885493533
XGBoost,Test,RandomOverSampling,0.5,344699,689398,2.0,0.7469725302746972,0.03310070568053335,0.6279585798816568,0.06288655975704603,0.7483285578700791,0.05189179685707569
Logistic Regression,Validation,RandomOverSampling,0.7,482578,689398,1.4285732047461757,0.7228886144430722,0.04801339245961782,0.5781685610122239,0.08866379452099846,0.6923571750700055,0.04625051423145818
Logistic Regression,Test,RandomOverSampling,0.7,482578,689398,1.4285732047461757,0.6978130218697813,0.02625791840351856,0.591715976331361,0.05028442125773909,0.693386613953326,0.028000107886250614
XGBoost,Validation,RandomOverSampling,0.7,482578,689398,1.4285732047461757,0.7566837834189171,0.05741530538343929,0.6120523268282222,0.10498243548950728,0.7468484904999383,0.07631533154395073
XGBoost,Test,RandomOverSampling,0.7,482578,689398,1.4285732047461757,0.7489025109748902,0.03379120879120879,0.6368343195266272,0.06417710196779965,0.752924487638649,0.0488054667555086
Logistic Regression,Validation,RandomOverSampling,1.0,689398,689398,1.0,0.7214986074930375,0.04804916493987213,0.581814282650654,0.08876746392697052,0.6941546717182198,0.04691888224646343
Logistic Regression,Test,RandomOverSampling,1.0,689398,689398,1.0,0.6970230297697023,0.02643806033636542,0.5976331360946746,0.05063608447703202,0.6943722449163945,0.02829701334887942
XGBoost,Validation,RandomOverSampling,1.0,689398,689398,1.0,0.7525087625438127,0.056431666633688836,0.6116234184001715,0.10332958950762654,0.7460739259387374,0.07648638201754307
XGBoost,Test,RandomOverSampling,1.0,689398,689398,1.0,0.7445425545744543,0.03322271955548696,0.6368343195266272,0.06315094616400176,0.7530504722349234,0.048258423458602734
